,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
63,Utah Jazz,66,244.9,38.2,83.8,.456,4.1,12.8,.323,34.1,71.0,.480,19.1,25.3,.754,13.0,31.1,44.2,21.8,8.3,5.8,14.2,21.8,99.7,2011-12
64,Milwaukee Bucks,66,240.4,37.9,85.6,.443,6.6,19.2,.345,31.3,66.5,.471,16.6,21.4,.774,12.4,30.0,42.5,23.5,8.3,5.1,14.1,19.3,99.0,2011-12
65,Sacramento Kings,66,241.1,37.7,86.5,.436,6.2,19.7,.316,31.5,66.8,.471,17.1,23.2,.736,13.4,29.5,42.9,19.3,8.5,4.9,14.4,19.5,98.8,2011-12
66,Miami Heat,66,243.0,37.1,79.0,.469,5.6,15.6,.359,31.5,63.4,.496,18.8,24.2,.775,10.4,31.2,41.6,20.0,8.9,5.4,15.2,19.4,98.5,2011-12
67,Phoenix Suns,66,240.0,37.8,82.5,.458,6.7,19.6,.343,31.1,62.9,.494,16.0,21.2,.757,10.9,30.8,41.7,22.5,6.5,5.5,14.1,18.7,98.4,2011-12
68,Houston Rockets,66,243.4,37.7,84.0,.449,7.2,20.2,.359,30.5,63.8,.477,15.4,19.7,.782,11.7,30.5,42.2,21.3,7.5,4.8,14.5,20.4,98.1,2011-12
69,Minnesota Timberwolves,66,241.5,35.7,82.3,.433,7.2,21.6,.332,28.5,60.8,.469,19.4,25.2,.771,12.1,31.7,43.7,19.5,6.6,4.4,15.2,18.4,97.9,2011-12
70,Golden State Warriors,66,241.1,37.7,82.5,.457,7.9,20.5,.388,29.8,62.0,.480,14.4,18.7,.770,9.7,29.5,39.2,22.3,8.0,5.5,13.9,21.4,97.8,2011-12
71,New York Knicks,66,241.5,35.8,80.8,.443,7.8,23.3,.336,28.0,57.5,.487,18.3,24.8,.741,11.3,30.5,41.7,20.1,9.4,4.2,16.0,21.1,97.8,2011-12
72,Indiana Pacers,66,242.3,35.7,81.4,.438,5.9,16.1,.368,29.7,65.3,.455,20.4,26.1,.782,12.5,31.4,43.9,18.6,7.9,5.4,14.0,21.7,97.7,2011-12
73,Los Angeles Clippers,66,241.9,37.0,81.3,.455,7.8,21.8,.357,29.2,59.5,.490,15.8,23.3,.680,12.1,29.4,41.6,21.0,8.4,4.8,13.3,21.2,97.5,2011-12
74,Los Angeles Lakers,66,243.4,36.8,80.6,.457,5.5,16.8,.326,31.3,63.7,.491,18.2,24.1,.756,12.1,34.1,46.2,22.5,5.9,5.3,15.1,16.8,97.3,2011-12
75,Portland Trail Blazers,66,241.9,36.4,82.1,.443,7.2,20.9,.346,29.2,61.1,.477,17.2,21.6,.796,11.1,29.5,40.7,20.4,8.0,4.9,14.2,19.0,97.2,2011-12
76,Atlanta Hawks,66,244.9,36.8,81.0,.454,7.5,20.2,.370,29.3,60.9,.482,15.5,21.0,.740,9.9,31.3,41.2,22.4,8.1,4.6,14.0,17.8,96.6,2011-12
77,Chicago Bulls,66,241.5,37.4,82.8,.452,6.3,16.9,.375,31.0,65.8,.471,15.2,21.1,.722,13.9,32.8,46.7,23.1,6.9,5.9,14.0,17.3,96.3,2011-12
78,Dallas Mavericks,66,243.4,36.3,82.0,.443,7.5,22.2,.339,28.8,59.8,.482,15.6,20.2,.771,10.1,32.7,42.8,20.9,8.6,5.1,14.0,18.6,95.8,2011-12
79,Memphis Grizzlies,66,241.5,36.7,82.2,.447,4.2,12.9,.326,32.5,69.3,.470,17.3,22.8,.759,12.6,29.5,42.0,19.5,9.6,5.2,14.5,19.9,95.0,2011-12
80,Orlando Magic,66,241.9,34.5,78.2,.441,10.2,27.0,.375,24.3,51.2,.475,15.1,22.8,.660,11.2,31.2,42.5,20.0,6.8,4.2,14.9,17.7,94.2,2011-12
81,Washington Wizards,66,240.4,36.6,83.0,.441,5.2,16.3,.320,31.4,66.7,.470,15.3,21.0,.727,11.7,29.9,41.7,19.1,8.0,6.3,15.3,21.3,93.6,2011-12
82,Philadelphia 76ers,66,241.1,37.4,83.6,.448,5.3,14.6,.362,32.2,69.0,.466,13.5,18.2,.742,10.7,32.5,43.2,22.0,8.0,5.2,11.2,17.5,93.6,2011-12
83,New Jersey Nets,66,240.8,34.3,80.6,.425,7.7,22.4,.342,26.6,58.2,.457,16.9,21.7,.777,11.9,28.5,40.3,19.9,7.5,3.9,15.1,19.2,93.1,2011-12
84,Cleveland Cavaliers,66,241.9,34.3,81.2,.422,6.7,19.3,.346,27.6,61.9,.446,17.8,24.9,.716,12.7,29.5,42.3,19.8,7.1,4.0,15.4,20.0,93.0,2011-12
85,Boston Celtics,66,241.5,35.5,77.1,.460,5.5,15.0,.367,30.0,62.1,.483,15.4,19.8,.778,7.7,31.1,38.8,23.6,7.5,5.5,14.8,19.9,91.8,2011-12
86,Detroit Pistons,66,241.9,34.7,79.3,.438,4.8,13.9,.346,29.9,65.4,.457,16.6,22.1,.752,11.7,28.5,40.3,18.7,7.0,4.2,15.7,19.6,90.9,2011-12
87,Toronto Raptors,66,241.9,34.4,78.1,.440,5.5,16.3,.340,28.8,61.8,.467,16.4,21.4,.770,10.6,31.4,42.0,20.9,6.5,4.9,15.2,23.2,90.7,2011-12
88,New Orleans Hornets,66,241.5,34.8,77.3,.451,3.9,11.8,.333,30.9,65.5,.472,16.0,21.2,.757,11.0,30.2,41.1,20.7,7.4,4.8,15.5,20.1,89.6,2011-12
89,Charlotte Bobcats,66,240.8,33.2,80.2,.414,4.0,13.5,.295,29.2,66.7,.439,16.5,22.2,.746,10.3,28.7,39.0,20.1,6.0,5.5,14.5,18.9,87.0,2011-12
90,Denver Nuggets,82,242.7,40.7,85.2,.478,6.4,18.5,.343,34.4,66.6,.516,18.4,26.2,.701,13.3,31.7,45.0,24.4,9.3,6.5,15.3,20.5,106.1,2012-13
91,Houston Rockets,82,241.2,38.1,82.7,.461,10.6,28.9,.366,27.5,53.8,.511,19.2,25.5,.754,11.1,32.3,43.4,23.2,8.3,4.4,16.4,20.3,106.0,2012-13
92,Oklahoma City Thunder,82,241.8,38.1,79.3,.481,7.3,19.4,.377,30.8,60.0,.514,22.2,26.8,.828,10.4,33.2,43.6,21.4,8.3,7.6,15.3,20.2,105.7,2012-13
93,San Antonio Spurs,82,242.4,39.1,81.4,.481,8.1,21.5,.376,31.1,59.9,.519,16.6,21.0,.791,8.1,33.2,41.3,25.1,8.5,5.4,14.7,17.4,103.0,2012-13
94,Miami Heat,82,242.4,38.4,77.4,.496,8.7,22.1,.396,29.6,55.4,.536,17.4,23.0,.754,8.2,30.4,38.6,23.0,8.7,5.4,13.9,18.7,102.9,2012-13
95,Los Angeles Lakers,82,240.9,37.1,81.0,.458,8.7,24.6,.355,28.4,56.4,.503,19.3,27.9,.692,11.5,33.3,44.8,22.2,7.0,5.2,15.0,17.9,102.2,2012-13
96,Golden State Warriors,82,241.5,38.2,83.4,.458,8.0,19.9,.403,30.1,63.5,.475,16.8,21.3,.790,10.8,34.2,45.0,22.5,6.9,4.2,15.1,21.4,101.2,2012-13
97,Los Angeles Clippers,82,240.6,38.5,80.6,.478,7.6,21.4,.358,30.9,59.2,.522,16.4,23.0,.711,11.4,30.2,41.6,23.9,9.6,5.6,14.6,20.9,101.1,2012-13
98,Dallas Mavericks,82,243.7,38.8,84.0,.462,7.4,19.9,.372,31.4,64.2,.489,16.1,20.4,.793,9.4,32.6,41.9,23.2,7.9,5.5,14.0,20.7,101.1,2012-13
99,Sacramento Kings,82,241.8,37.6,84.2,.447,7.4,20.5,.363,30.2,63.7,.474,17.5,22.8,.769,11.5,29.1,40.6,20.8,8.2,4.2,14.6,20.9,100.2,2012-13
100,New York Knicks,82,240.6,36.5,81.6,.448,10.9,28.9,.376,25.7,52.7,.487,16.0,21.1,.759,10.9,29.7,40.6,19.3,8.2,3.6,12.0,20.1,100.0,2012-13
101,Milwaukee Bucks,82,241.8,38.1,87.8,.435,7.3,20.4,.360,30.8,67.4,.457,15.3,20.7,.736,13.0,30.9,44.0,22.9,8.4,6.7,14.1,19.0,98.9,2012-13
102,Utah Jazz,82,242.4,37.1,81.8,.454,6.2,16.9,.366,31.0,64.9,.477,17.5,23.0,.764,12.1,30.0,42.0,22.7,8.4,6.3,14.8,21.3,98.0,2012-13
103,Atlanta Hawks,82,242.1,37.6,81.0,.464,8.6,23.2,.371,29.0,57.8,.501,14.1,19.7,.715,9.2,31.6,40.9,24.5,8.1,4.5,14.9,18.0,98.0,2012-13
104,Portland Trail Blazers,82,242.1,36.7,81.9,.448,8.2,23.2,.353,28.5,58.7,.486,15.9,20.5,.776,10.7,30.2,40.8,21.8,6.6,4.3,14.7,18.5,97.5,2012-13
105,Toronto Raptors,82,243.7,36.3,81.5,.446,7.0,20.3,.343,29.4,61.2,.480,17.6,22.3,.788,10.6,29.6,40.2,21.5,7.3,4.8,13.7,22.4,97.2,2012-13
106,Brooklyn Nets,82,242.1,35.9,79.8,.450,7.7,21.5,.357,28.2,58.3,.484,17.5,23.9,.731,12.8,30.0,42.8,20.3,7.3,4.8,14.7,18.3,96.9,2012-13
107,Boston Celtics,81,244.9,37.0,79.7,.465,6.1,17.2,.358,30.9,62.6,.494,16.3,21.0,.776,8.1,31.3,39.3,22.8,8.2,4.5,14.6,21.2,96.5,2012-13
108,Cleveland Cavaliers,82,240.6,36.5,84.2,.434,6.7,19.3,.346,29.8,64.9,.460,16.8,22.3,.756,12.2,28.8,41.0,20.7,7.9,4.1,14.0,21.2,96.5,2012-13
109,Minnesota Timberwolves,82,240.6,35.9,81.7,.439,5.5,18.0,.305,30.4,63.7,.477,18.5,24.9,.742,11.9,30.2,42.0,22.4,8.5,4.7,14.8,18.4,95.7,2012-13
110,Phoenix Suns,82,241.5,37.3,84.4,.443,5.9,17.7,.330,31.5,66.6,.473,14.7,19.7,.744,11.7,29.9,41.6,22.6,8.0,5.3,15.6,20.6,95.2,2012-13
111,Detroit Pistons,82,241.5,36.3,81.0,.449,6.3,17.6,.356,30.1,63.4,.474,15.9,22.8,.699,12.1,30.0,42.1,21.2,7.0,4.9,15.1,19.8,94.9,2012-13
112,Indiana Pacers,81,241.9,35.1,80.6,.436,6.9,19.7,.347,28.3,60.8,.465,17.6,23.6,.746,12.9,33.0,45.9,20.3,7.2,6.3,15.1,20.0,94.7,2012-13
113,New Orleans Hornets,82,241.2,36.0,80.4,.448,6.5,18.0,.363,29.5,62.4,.473,15.5,20.0,.776,12.0,29.6,41.6,21.0,6.3,5.4,14.5,20.4,94.1,2012-13
114,Orlando Magic,82,241.2,37.7,84.2,.448,6.2,18.7,.329,31.5,65.5,.482,12.5,16.6,.755,10.9,31.9,42.7,22.8,6.4,4.4,14.5,19.4,94.1,2012-13
115,Memphis Grizzlies,82,241.5,36.1,81.5,.444,4.7,13.5,.345,31.5,68.0,.463,16.5,21.3,.773,12.9,29.8,42.7,20.9,8.6,5.3,14.0,20.2,93.4,2012-13
116,Charlotte Bobcats,82,241.5,34.4,81.1,.425,5.7,17.1,.335,28.7,64.0,.448,18.9,25.1,.750,11.2,29.1,40.3,19.4,7.2,5.8,14.1,19.0,93.4,2012-13
117,Philadelphia 76ers,82,240.9,37.3,84.1,.444,6.3,17.5,.360,31.0,66.5,.466,12.2,16.8,.729,10.9,30.4,41.3,22.8,7.4,4.7,13.0,18.4,93.2,2012-13
118,Chicago Bulls,82,241.8,35.7,81.7,.437,5.4,15.4,.353,30.2,66.3,.456,16.4,21.2,.773,12.5,30.7,43.2,23.0,7.2,5.1,14.3,19.7,93.2,2012-13
119,Washington Wizards,82,242.1,35.5,81.6,.435,6.6,18.2,.365,28.8,63.4,.455,15.6,21.3,.733,10.8,32.3,43.2,21.6,7.3,4.6,15.1,20.5,93.2,2012-13
120,Los Angeles Clippers,82,240.9,39.1,82.5,.474,8.5,24.0,.352,30.7,58.5,.525,21.2,29.1,.730,10.5,32.5,43.0,24.6,8.6,4.8,13.9,21.5,107.9,2013-14
121,Houston Rockets,82,241.8,38.0,80.5,.472,9.5,26.6,.358,28.5,54.0,.529,22.1,31.1,.712,11.2,34.1,45.3,21.4,7.6,5.6,16.1,20.4,107.7,2013-14
122,Minnesota Timberwolves,82,242.1,38.9,87.5,.444,7.3,21.4,.341,31.6,66.1,.478,21.8,28.1,.778,12.5,32.2,44.7,23.9,8.8,3.6,13.9,18.3,106.9,2013-14
123,Portland Trail Blazers,82,242.1,39.1,87.0,.450,9.4,25.3,.372,29.7,61.7,.481,19.1,23.5,.815,12.5,34.0,46.4,23.2,5.5,4.7,13.7,19.2,106.7,2013-14
124,Oklahoma City Thunder,82,241.5,39.0,82.7,.471,8.1,22.4,.361,30.9,60.3,.512,20.2,25.0,.806,10.8,33.9,44.7,21.9,8.3,6.1,15.3,22.7,106.2,2013-14
125,San Antonio Spurs,82,240.9,40.6,83.5,.486,8.5,21.4,.397,32.0,62.0,.517,15.7,20.0,.785,9.3,34.0,43.3,25.2,7.4,5.1,14.4,18.2,105.4,2013-14
126,Phoenix Suns,82,240.9,38.7,83.5,.463,9.3,25.1,.372,29.4,58.4,.503,18.5,24.4,.758,11.3,31.7,43.0,19.1,8.4,4.6,15.3,21.9,105.2,2013-14
127,Dallas Mavericks,82,241.8,39.6,83.6,.474,8.8,22.9,.384,30.8,60.7,.508,16.8,21.1,.795,10.2,30.7,40.9,23.6,8.6,4.3,13.5,20.0,104.8,2013-14
128,Denver Nuggets,82,240.9,38.4,85.9,.447,8.6,23.9,.358,29.8,62.0,.481,19.1,26.3,.726,12.3,33.1,45.4,22.4,7.5,5.6,15.9,23.0,104.4,2013-14
129,Golden State Warriors,82,241.8,39.5,85.4,.462,9.4,24.8,.380,30.0,60.6,.496,15.9,21.1,.753,10.9,34.4,45.3,23.3,7.8,5.0,15.2,21.8,104.3,2013-14
130,Los Angeles Lakers,82,240.3,38.3,85.1,.450,9.4,24.8,.381,28.8,60.3,.478,17.0,22.4,.757,9.1,32.0,41.0,24.5,7.5,5.4,15.1,19.8,103.0,2013-14
131,Miami Heat,82,242.4,38.3,76.5,.501,8.1,22.3,.364,30.2,54.2,.558,17.5,23.0,.760,7.6,29.2,36.9,22.5,8.9,4.5,14.8,19.5,102.2,2013-14
132,Toronto Raptors,82,243.4,36.5,81.9,.445,8.7,23.4,.372,27.8,58.5,.475,19.6,25.1,.782,11.4,31.1,42.5,21.2,7.0,4.2,14.1,23.0,101.3,2013-14
133,Atlanta Hawks,82,241.8,37.3,81.6,.458,9.4,25.8,.363,28.0,55.8,.502,17.0,21.7,.781,8.7,31.3,40.0,24.9,8.3,4.0,15.3,19.2,101.0,2013-14
